title,name,address,contact,url
Dentists,"Ronald S Sambursky, DMD",,"205 Oakdale Rd.,  Johnson City, NY 13790 (607) 798-0789",https://dentalsolutionsbinghamton.com/location
Dentists,Broome County Dental Society,"Vestal, NY · In U Club Binghamton",(607) 765-6516,https://www.broomecountydentalsociety.com/
Dentists,Vestal Dental Associates,"Vestal, NY",(607) 785-3339,https://www.vestaldental.com/
Dentists,Valley Dental Pediatrics,,"Vestal, NY  (607) 754-3903",https://www.valleydentalpediatrics.com/
Dentists,New York Dental Group,"Vestal, NY",(607) 777-1340,https://www.nydentalgroup.com/
Dentists,Gentle Dental Care,,"Vestal, NY (607) 785-1900",https://thegentledentalcare.com/
Dentists,"Michael C. Perna, DDS","Binghamton, NY",(607) 722-0832,https://drperna.com/Index.asp
Dentists,Triple Cities Family Dental P.C,"Binghamton, NY",(607) 545-4148,https://triplecitiesfamilydental.com/
Dentists,Lalor Dental,"Vestal, Binghamton, Horseheads",(607) 754-2217,https://www.lalordental.com/
Dentists,Silvestri & Comfort Family Dentistry,"Vestal, NY",(607) 797-5932,https://www.southerntiersmiles.com/
Dentists,Oleska Dental Care,"Union Springs 207 North Cayuga St., Union Springs, NY 13160 315.889.7347",,http://droleksa.com/
Dentists,Oleska Dental Care,"Jerome S. Oleksa D.D.S. Seneca Falls 96 Cayuga Street., Seneca Falls, NY 13148",,315.568.5656 http://droleksa.com/
Dentists,Cayuga Family Dental LLC,"STE 63, 1576, 2255 N Triphammer Rd,","Ithaca, NY 14850 Phone: (607) 257-6600",http://www.cayugafamilydental.com/#/
Dentists,"Douglas A. Watson, DDS","4 Washington Street Greene, NY 13778",(607) 656-7676,https://www.watsondentaldds.com/dentist-greene-ny
Dentists,Benjamin Dental Group,,"60 Union St. @ Pearl  P.O. Box 27 Sidney, NY 13838 Telephone: +1-607-563-2333 Fax: +1-607-563-8946 E-mail:",https://www.benjamindental.com/contact
Dentists,Progressive Dental of Norwich,"101 S Broad St. Norwich, NY 13815",Phone: (607) 334-8666,https://progressivedentalny.com
Dentists,Enlightened Dentistry,"10 Henry St. Norwich, NY 13815",Phone: (607) 336-2273,https://www.norwichdental.com
Dentists,Anthony E Piana PC,"Address: 513 Garden St Little Falls, NY 13365",Phone: (315) 823-3570,http://www.littlefallsdental.com
Dentists,Zilka David J DDS,"301 Mohawk St. Herkimer, NY 13350",Phone: (315) 866-2460,https://doctorzilka.com/contact-us/
Dentists,"Larry J. Melo, DDS","314 North Prospect Street Herkimer, NY 13350",Fax: (315) 867-5979,http://www.herkimerfamilydentistry.com
Dentists,"Andrew J. Spiridigloizzi, DDS","Address: 10 N Park Pl. Herkimer, NY 13350",Phone: (315) 866-6250,https://www.ajsdds.com
Dentists,"Paul M. Caruso, D.D.S.","Address: EFK Plaza, 338 E State St Herkimer, NY 13350",Phone: (315) 866-2344,http://www.carusoortho.com
Dentists,"Dr. Devan R. Berry, DDS","Address: 17 Payne St Hamilton, NY 13346",Phone: (315) 824-2250,https://www.devanberryddshamiltonny.com
Dentists,Smile Solutions,"Address: 118 S Main St Canastota, NY 13032",Phone: (315) 697-9287,http://www.smilesolutionsofcny.com
Dentists,Oneida Dental Group,"Address: 308 Main St Oneida, NY 13421",Phone: (315) 363-4850,https://www.oneidadentalgroup.com
Dentists,Hamilton Dental,"Address: 34 Broad St Hamilton, NY 13346",Phone: (315) 824-3338,http://www.hamiltondentalny.com/index.html
Dentists,Stewart a Bruce DDS,"Address: 321 Main St, Oneida NY 13421",Phone: (315) 363-4940,https://www.oneidanydentist.com
