title,name,address,contact,url
Mom Life,White Rose Day Spa,"4535 Old Vestal Road Vestal, NY 13850",607 644-9123,https://www.whiterosedayspa.com
Mom Life,Traditions,"4101 Watson Blvd, Johnson City, NY 13790",(607) 797-2381,https://www.traditionshotelandspa.com/index.html
Mom Life,Rejuvanations Day Spa,"1735 West Genesee St. Syracuse, NY 13204",(315) 468-3048,http://www.rejuvenationsdayspasite.org/default.asp
Mom Life,Belladerma Wellness Spa,"5500 Bartel Road Brewerton, NY 13029",(315) 751-1439,http://www.belladermawellnessspa.com
Mom Life,Mirbeau,"851 W Genesee Street Rd. Skaneateles, NY 13152",877-MIRBEAU (647-2328),https://www.mirbeau.com/skaneateles/
Mom Life,Turning Stone® Resort Casino,"5218 Patrick Rd Verona, NY 13478 800.771.7711",,https://www.turningstone.com/spa/skana
Mom Life,White Rose Day Spa,"4535 Old Vestal Road Vestal, NY 13850",607 644-9123,https://www.whiterosedayspa.com
Mom Life,Traditions,"4101 Watson Blvd, Johnson City, NY 13790",(607) 797-2381,https://www.traditionshotelandspa.com/index.html
Mom Life,Teasers Hair & Nail Studio,"11 South Broad Street Norwich, NY 13815",(607) 334-5744,https://teasershairandnailstudio.com
Mom Life,Bijou,"6 Jordan Street Skaneateles, NY 13152",Alt: 315-532-1813,http://www.bijousalon.net/index.php
Mom Life,Smart Style,"103 N Caroline St. Herkimer, NY 13350",(315) 717-0245,https://www.smartstyle.com/en-us/homepage.html
Mom Life,Turning Stone® Resort Casino,"5218 Patrick Rd Verona, NY 13478 800.771.7711",,https://www.turningstone.com/spa/ahsi-day-spa-and-salon
Mom Life,White Rose Day Spa,"4535 Old Vestal Road Vestal, NY 13850",607 644-9123,https://www.whiterosedayspa.com
Mom Life,Traditions,"4101 Watson Blvd, Johnson City, NY 13790",(607) 797-2381,https://www.traditionshotelandspa.com/index.html
Mom Life,Turning Stone® Resort Casino,"5218 Patrick Rd Verona, NY 13478 800.771.7711",,https://www.turningstone.com/spa/ahsi-day-spa-and-salon
