title,name,address,contact,url
Aquatics,Goldfish Swim School,"650 Stewart Ave Garden City, NY 11530 516.267.5120",,https://www.goldfishswimschool.com/
Aquatics,,,,
Aquatics,Long Island Swim School – Garden City,"750 F Stewart Avenue Garden City, NY 11530",516-378-8467,https://www.longislandswimschool.com/
Aquatics,,,,
Aquatics,Swim and Scuba,"490 Sunrise Hwy Rockville Centre, NY 516.872.4571",,http://swimandscuba.com/services-view/swim-center/
Aquatics,,,,
Aquatics,Saf-T-Swim:,"3194 Lawson Blvd Oceanside, NY 11572",,http://safetyswim.wpengine.com/
Aquatics,570 Main St,"570 Main St Westbury, NY 11590",,
Aquatics,,,,
Aquatics,Hofstra University,"Hofstra University 1000 Fulton Avenue Hempstead, NY 11549",,
Aquatics,,,,
Aquatics,Nassau County Aquatic Center,"Eisenhower Park East Meadow, NY 516.572.0501",,https://www.nassaucountyny.gov/DocumentCenter/View/19755
Aquatics,,,,
Aquatics,Swim and Scuba,"490 Sunrise Hwy Rockville Centre, NY 516.872.4571",,http://swimandscuba.com/services-view/swim-center/
Aquatics,,,,
Aquatics,YMCA,YMCA 125 Dosoris Lane Glen Cove; NY,516-671-8270,
Aquatics,Ocean Beach ,"300 W Broadway, Long Beach, NY 11561",516.431.1021,
