title,name,address,contact,url
Auto Care,American Car Wash,"American Car Wash 1035 Northern Blvd Roslyn, NY 11576 Tel: 516.627.5555",,
Auto Care,,,,
Auto Care,Spotless Car Wash,"Spotless Car Wash 954 Nassau Rd Uniondale, NY 11553 Tel: 516.279.6613",,
Auto Care,,,,
Auto Care,Five Corners Hand Car Wash,"Five Corners Hand Car Wash 2080 Hillside Ave New Hyde Park, NY 11040",,
Auto Care,Westbury Car Wash,"Westbury Car Wash 14 Urban Ave Westbury, NY 11590",,
Auto Care,,,,
Auto Care,J&S Car Wash,"J&S Car Wash 49 Hempstead Turnpike West Hempstead, NY 11552 Tel: 516.564.4346",,
Auto Care,,,,
Auto Care,East Meadow Car Wash Detailing & Window Tinting,"East Meadow Car Wash Detailing & Window Tinting 2789 N Jerusalem Rd East Meadow, NY 11554 Tel: 516. 557.2606",,
Auto Care,,,,
Auto Care,Ultrasonic RVC Hand Car Wash,"Ultrasonic RVC Hand Car Wash 1 Merrick Rd Rockville Centre, NY 11570 Tel: 516.442.0362",,
Auto Care,,,,
Auto Care,Big M Car Wash of Westbury,"Big M Car Wash of Westbury 39 Old Country Rd Westbury, NY 11590 Tel: 516.333.3106",,
Auto Care,,,,
Auto Care,USA Car Wash,"USA Car Wash 215 Henry St Hempstead, NY 11550 Tel: 516.292.0111",,
Auto Care,,,,
Auto Care,Precision Car Wash & Detailing,"Precision Car Wash & Detailing 59 Mill Rd Freeport, NY 11520 Tel: 516.546.0605",,
Auto Care,,,,
Auto Care,Oceanside Automobile Wash,"Oceanside Automobile Wash 210 Atlantic Ave Oceanside, NY 11572 Tel: 516.536.2827",,
Auto Care,,,,
Auto Care,Precision Detailing Inc.,"Precision Detailing Inc. 3375 Lawson Blvd Oceanside, Ny 11572 Tel: 516.665.9043",,
Auto Care,,,,
Auto Care,KS Detailing,"KS Detailing 50 Urban Ave Westbury, NY 11590 Tel: 516.260.0555",,
Auto Care,,,,
Auto Care,Supreme Steam Auto Detail & Vinyl Wraps,"Supreme Steam Auto Detail & Vinyl Wraps 99 Jericho Turnpike Mineola, NY 11501 Tel: 516.747.3741",,
Auto Care,,,,
Auto Care,Detailing Dynamics,"Detailing Dynamics 66 Windsor Ave Mineola, NY 11501",,
Auto Care,,,,
Auto Care,Ultimate Car Wash,"Ultimate Car Wash 1290 Woodfield Rd Rockville Centre, NY 11570 Tel: 516.764.5940",,
Auto Care,,,,
Auto Care,Waterwerkz Hand Wash,"Waterwerkz Hand Wash 51 Sunrise Hwy Lynbrook, NY 11563 Tel: 516.708.3950",,
Auto Care,,,,
Auto Care,Harbor Car Wash,"Harbor Car Wash 228 Millburn Ave Baldwin, NY 11510",,
Auto Care,,,,
Auto Care,RVC Carwash,"RVC Carwash 600 E Sunrise Hwy Rockville Centre, NY 11570 Tel: 516.536.8486",,
Auto Care,,,,
Auto Care,Great Neck Car Wash,"Great Neck Car Wash Ltd 790 Northern Blvd Great Neck, NY 11021 Tel: 516.466.0002",,
Auto Care,,,,
Auto Care,Ace Auto Detail,"Ace Auto Detail 316 Eagle Ave West Hempstead, NY 11552 Tel: 516.88.8888",,
Auto Care,,,,
Auto Care,Bolla Car Wash,"Bolla Car Wash 801 Stewart Ave Garden City, NY 11530 Tel: 516.794.0300",,
Auto Care,,,,
Auto Care,Valley Stream Car Wash,"Valley Stream Car Wash 350 Rockaway Ave Valley Stream, NY 11580 Tel: 516.599.1231",,
Auto Care,Coming soon!,Coming soon!,,
Auto Care,Coming soon!,Coming soon!,,
