title,name,address,contact,url
Day Care & Private Schools,Learn & Play,"80 Herricks Rd Mineola, NY Tel: 516.747.7755",,http://www.learnandplayny.com/
Day Care & Private Schools,Tutor Time of New Hyde Park,"619 Jericho Turnpike New Hyde Park, NY Tel: 516.326.8236",,http://www.tutortimenhp.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=6297
Day Care & Private Schools,Harbor Child Care at the Plaza,"250 RXR Plaza Uniondale, NY Tel: 516.280.6716",,http://www.harborchildcare.org/Plaza
Day Care & Private Schools,Harbor Child Care Herricks,"999 Herricks Rd #119 New Hyde Park, NY Tel: 516.248.7048",,http://www.harborchildcare.org/Herricks
Day Care & Private Schools,Temple Sinai Nursery School in partnership with Bright Horizons,"425 Roslyn Rd Roslyn Heights, NY Tel: 516.621.6800",,https://mysinai.org/life-long-learning/nursery-school?utm_source=GMB_yext&utm_medium=GMBdirectory&utm_campaign=yext&IMS_SOURCE_SPECIFY=GMB
Day Care & Private Schools,Learning Center,"Learning Center 130 Emory Rd Mineola, NY Tel: 516.248.2948",,
Day Care & Private Schools,Brookville Center for Children’s Services,1983 Marcus Ave C 118 New Hyde Parkm NY Tel: 516.497.7600,,https://www.brookvillecenter.org/
Day Care & Private Schools,Romper Room Nursery School,"133 Hillside Ave Williston Park, NY Tel: 516.746.8606",,http://www.romperroomschool.com/
Day Care & Private Schools,Stars & Angels Childcare,"229 Brixton Rd Garden City, NY Tel: 516.873.1853",,https://www.snadaycare.com/
Day Care & Private Schools,,,,
Day Care & Private Schools,Early Learning Center,"Early Learning Center Adelphi University 1 South Ave Garden City, NY",,
Day Care & Private Schools,Wee Ones Day Care,"Wee Ones Day Care 37 Cherry Ln Carle Place, NY Tel: 516.750.5831",,
Day Care & Private Schools,Teaching Learning Caring DayCare LLC,"Teaching Learning Caring DayCare LLC 69 Myrtle Ave Westbury, NY 11590 Tel: 516.385.3785",,
Day Care & Private Schools,Manhasset KinderCare,"1355 Northern Blvd #100 Manhasset, NY Tel: 516.365.3532",,http://www.kindercare.com/our-centers/manhasset/ny/301903?utm_campaign=KC_Local&utm_source=GMB&utm_medium=Profile&utm_content=/&_google
Day Care & Private Schools,SmartyGems Pre School & Daycare,"18 Evans St New Hyde Park, NY Tel: 516.305.5108",,https://smartygems.com/
Day Care & Private Schools,,,,
Day Care & Private Schools,Kiddie Academy of Floral Park,,339 NY-25,https://kiddieacademy.com/academies/floral-park/
Day Care & Private Schools,Holy Name of Mary School,"90 S Grove St. Valley Stream, NY Tel: 516.825.4009",,http://hnomschool.org/
Day Care & Private Schools,St. Joseph’s School,"450 Franklin Ave Garden City, NY Tel: 516.747.2730",,http://st-josephschool.com/
Day Care & Private Schools,St. Bridgid/Our Lady of Hope Regional School,"101 Maple Ave Westbury, NY Tel: 516.333.0580",,http://www.stbolh.org/
