title,name,address,contact,url
Dental Care,The Gentle Dentist,"327 Nassau Blvd Garden City South, NY 11530 Tel: 516.629.5436",,http://www.dentist-gardencity.com/
Dental Care,,,,
Dental Care,"Heidi N Zuckerman, DMD","1010 Northern Blvd, Suite 116 Great Neck, NY 11021 Tel: 516.829.5651",,http://www.greatneckdental.com/
Dental Care,,,,
Dental Care,Long Island Dental Excellence,"100 N Central Ave, Suite 402 Rockville Centre, NY 11570 Tel: 516.208.2319",,https://www.longislanddentalexcellence.com/
Dental Care,,,,
Dental Care,"Stephen Celella, DDS","713 West Park Ave Long Beach, NY 11561 Tel: 516.431.8055",,http://www.emergencynydentist.com/
Dental Care,,,,
Dental Care,,,,
Dental Care,Pediatric Dentistry of Nassau County,"300 Garden City Plaza,Suite 2 Garden City, NY 11530",Tel: (516) 280-6734,https://www.supermolar.com/contact-garden-city
Dental Care,,,,
Dental Care,Happy KiDDS Pediatric Dentistry,"800 Community Dr, Suite 200 Manhasset, NY",Tel: (516) 869-9500,http://www.happykiddsdental.com
Dental Care,,,,
Dental Care,Dental Associates for Kids Only,"216 Willis Ave Roslyn Heights, NY",Tel: (516) 625-3806,http://www.dafko.com
Dental Care,,,,
Dental Care,Little Smiles on Broadway,"133 Broadway Lynbrook, NY",Tel: (516) 561-3333,http://LITTLESMILESONBROADWAY.COM
Dental Care,Great Neck Orthodontics,"1000 Northern Blvd, Suite 300 Great Neck NY 11021 Tel: 516.466.0146",,https://www.greatneckortho.com/
Dental Care,,,,
Dental Care,Kleinrock Orthodontics,"1705 Broadway Hewlett, NY 11557 Tel:  516.593.0082",,https://www.kleinrockorthodontics.com/
Dental Care,&,&,,
Dental Care,"20 W Park Ave, Suite 302","20 W Park Ave, Suite 302 Long Beach, NY 11561 Tel: 516.431.5300",,
Dental Care,,,,
Dental Care,Dr. Emma,"70 7 Street Garden City, NY 11530 Tel: 516.741.7970",,http://www.doctoremma.com/
Dental Care,,,,
Dental Care,New Hyde Park Orthodontics,"1991 Marcus Ave, Suite 106 New Hyde Park, NY 11042 Tel: 516.775.9393",,http://nhportho.com/
Dental Care,,,,
Dental Care,Newman Orthodontics,,,https://newmansortho.com/
Dental Care,14 Glen Cove Rd,14 Glen Cove Rd,,
Dental Care,"Roslyn Heights, NY 11577","Roslyn Heights, NY 11577",,
Dental Care,Tel: 516.626.2060,Tel: 516.626.2060,,
Dental Care,,,,
Dental Care,,,,
Dental Care,Great Neck Orthodontics,,,https://www.greatneckortho.com/
Dental Care,"1000 Northern Blvd, Suite 300","1000 Northern Blvd, Suite 300",,
Dental Care,"Great Neck, NY 11021","Great Neck, NY 11021",,
Dental Care,Tel: 516.466.0146,Tel: 516.466.0146,,
Dental Care,,,,
Dental Care,,,,
Dental Care,Capogna Orthodontics,,,https://www.capognaortho.com/
Dental Care,41 New Hyde Park Rd,41 New Hyde Park Rd,,
Dental Care,"Garden City, NY 11530","Garden City, NY 11530",,
Dental Care,Tel: 516.673.4888,Tel: 516.673.4888,,
Dental Care,,,,
Dental Care,,,,
Dental Care,Island Orthodontics,,,http://www.islandortho.com/
Dental Care,"1025 Northern Blvd, Suite 207","1025 Northern Blvd, Suite 207",,
Dental Care,"Roslyn, NY 11576","Roslyn, NY 11576",,
Dental Care,Tel: 516.365.5300,Tel: 516.365.5300,,
Dental Care,,,,
Dental Care,,,,
Dental Care,Halberstadt Orthodontics,,,http://www.halberstadtortho.com/rockville-centre-orthodontist/
Dental Care,364 Merrick Rd,364 Merrick Rd,,
Dental Care,"Rockbille Centre, NY 11570","Rockbille Centre, NY 11570",,
Dental Care,Tel: 516.594.9510,Tel: 516.594.9510,,
Dental Care,,,,
Dental Care,,,,
Dental Care,Luccarelli & Barrese Orthodontics,,,http://www.halberstadtortho.com/rockville-centre-orthodontist/
Dental Care,51 Charles St,51 Charles St,,
Dental Care,"Mineola, NY 11501","Mineola, NY 11501",,
Dental Care,Tel: 516.746.3204,Tel: 516.746.3204,,
Dental Care,,,,
Dental Care,PM Dental Care,"121 Jericho Tpke Mineola, NY 11501 Tel: 516.746.1111",,http://www.pmdentalcare.com/emergency.html?gclid=EAIaIQobChMI0Piav7Ku3QIVjUoNCh0sTAOwEBAYAiAAEgJ35PD_BwE
Dental Care,,,,
Dental Care,Dr. Todd Kshonz Emergency Dentist,"142 Union Ave Lynbrook, NY 11563 Tel: 877.822.9276",,http://emergencydentistnassaucounty.com/
Dental Care,,,,
Dental Care,,,,
Dental Care,Emergency Dental Care,"649 Hempstead Turnpike Franklin Square, NY 11010 Tel: 516.565.3435",,http://emergencydentistnassaucounty.com/
Dental Care,,,,
