title,name,address,contact,url
Dining,Coming soon!,Coming soon!,,
Dining,Coming soon!,Coming soon!,,
Dining,,"653 Franklin Ave Garden City, NY 11530 Tel: 516.746.9322",,
Dining,,,,
Dining,,,,
Dining,,"100 7 Street Garden City, NY 11530 Tel: 516.280.3001",,
Dining,,,,
Dining,,,,
Dining,,"662 Franklin Ave Garden City, NY 11530 Tel: 516.747.3696",,
Dining,,,,
Dining,,"1354 Old Northern Blvd Roslyn, NY 11576 Tel: 516.484.7338",,
Dining,,,,
Dining,,,,
Dining,,"82 Mineola Ave Roslyn Heights, NY 11577 Tel: 516.625.1420",,
Dining,,,,
Dining,,"299 Warner Ave Roslyn Heights, NY 11577 Tel: 516.200.9400",,
Dining,,,,
Dining,,,,
Dining,,"1380 Old Northern Blvd Roslyn, NY 11576 Tel: 516.484.5070",,
Dining,,,,
Dining,,,,
Dining,Ben’s Kosher Delicatessen Restaurant & Caterer,"140 Wheatley Plaza Greenvale, NY 11548 Tel: 516.621.3340",,http://www.bensdeli.net
Dining,,,,
Dining,Coming Soon,Coming Soon,,
Dining,Coming soon!,Coming soon!,,
Dining,Coming soon!,Coming soon!,,
Dining,Coming soon!,Coming soon!,,
