title,name,address,contact,url
"FITNESS, HEALTH & WELLNESS",Pure Barre Garden City,,,http://purebarre.com/ny-gardencity/
"FITNESS, HEALTH & WELLNESS",191 7,191 7 Street,,
"FITNESS, HEALTH & WELLNESS","Garden City, NY 11530","Garden City, NY 11530",,
"FITNESS, HEALTH & WELLNESS",Tel: 516.280.8443,Tel: 516.280.8443,,
"FITNESS, HEALTH & WELLNESS",,,,
"FITNESS, HEALTH & WELLNESS",Pure Barre Oceanside,,,http://purebarre.com/ny-oceanside/
"FITNESS, HEALTH & WELLNESS",3575 Long Beach Rd,3575 Long Beach Rd,,
"FITNESS, HEALTH & WELLNESS","Oceanside, NY 11572","Oceanside, NY 11572",,
"FITNESS, HEALTH & WELLNESS",Tel: 516.766.0465,Tel: 516.766.0465,,
"FITNESS, HEALTH & WELLNESS",,,,
"FITNESS, HEALTH & WELLNESS",Pure Barre Manhasset,,,http://purebarre.com/ny-manhasset/
"FITNESS, HEALTH & WELLNESS",1681 Northern Blvd,1681 Northern Blvd,,
"FITNESS, HEALTH & WELLNESS","Manhasset, NY 11030","Manhasset, NY 11030",,
"FITNESS, HEALTH & WELLNESS",Tel: 516.365.9090,Tel: 516.365.9090,,
"FITNESS, HEALTH & WELLNESS",,,,
"FITNESS, HEALTH & WELLNESS",The Bar Method,,,https://barmethod.com/locations/roslyn-heights/
"FITNESS, HEALTH & WELLNESS",250 S Service Rd,250 S Service Rd,,
"FITNESS, HEALTH & WELLNESS","Roslyn, NY 11577","Roslyn, NY 11577",,
"FITNESS, HEALTH & WELLNESS",Tel: 516.484.0200,Tel: 516.484.0200,,
"FITNESS, HEALTH & WELLNESS",,,,
"FITNESS, HEALTH & WELLNESS",London Barre,,,http://www.thelondonbarre.com
"FITNESS, HEALTH & WELLNESS",55 Lumber Rd #340,55 Lumber Rd #340,,
"FITNESS, HEALTH & WELLNESS","Roslyn, NY","Roslyn, NY",,
"FITNESS, HEALTH & WELLNESS",Tel: 516.801.0101,Tel: 516.801.0101,,
"FITNESS, HEALTH & WELLNESS",The Fitness Loft Manhasset,,,https://www.fitnessloft.com
"FITNESS, HEALTH & WELLNESS",1447 Northern Blvd,1447 Northern Blvd,,
"FITNESS, HEALTH & WELLNESS","Manhasset, NY 11030","Manhasset, NY 11030",,
"FITNESS, HEALTH & WELLNESS",Tel: 516.439.5050,Tel: 516.439.5050,,
"FITNESS, HEALTH & WELLNESS",,,,
"FITNESS, HEALTH & WELLNESS",Mstany Fitness,,,http://www.mstany.com
"FITNESS, HEALTH & WELLNESS",90 Herricks Rd,90 Herricks Rd,,
"FITNESS, HEALTH & WELLNESS","Mineola, NY11501","Mineola, NY11501",,
"FITNESS, HEALTH & WELLNESS",Tel: 516.330.7111,Tel: 516.330.7111,,
"FITNESS, HEALTH & WELLNESS",,,,
"FITNESS, HEALTH & WELLNESS",Orangetheory Fitness Carle Place,,,https://carle-place.orangetheoryfitness.com
"FITNESS, HEALTH & WELLNESS",211 Glen Cove Rd,211 Glen Cove Rd,,
