title,name,address,contact,url
"GIFT SHOPS, FLORISTS & STATIONARY",Coming soon!,Coming soon!,,
"GIFT SHOPS, FLORISTS & STATIONARY",Island and Ivory,,,http://islandandivory.com/
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",Sparkle – NY,,,https://sparkle-ny.com/
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"70 Covert Ave Garden City, NY 11530 Tel: 516.328.8975",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"8 N Park Ave Rockville Centre, NY 11570 Tel: 516.536.9616",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,530 Cherry Ln Floral Park NY 11001 Tel: 800.753.7848,,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"165 Woodcleft Ave #B Freeport, NY 11520",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"46 Hillside Ave Williston Park, NY 11596 Tel: 516.742.1331",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"390 Willis Ave Roslyn Heights, NY 11577 Tel: 516.437.5466",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"581 Middle Neck Rd Great Neck, NY 11023 Tel: 516.482.4729",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"891 W Beech St. Long Beach, NY 11561 Tel: 516.442.5500",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"3173 Long Beach Rd Oceanside, NY 11572 Tel: 516.766.3100",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"41 N Village Ave Rockville Centre, NY 11570 Tel: 800.769.2461",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"6 N Park Ave Rockville Centre, NY 11570 Tel: 516.536.7467",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"169 7 Street Garden City, NY 11530 Tel: 516.248.1313",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"186 7 Street Garden City, NY 11530 Tel: 516.747.3386",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",,"11 Athantic Ave Lynbrook, NY 11563 Tel: 516.593.6500",,
"GIFT SHOPS, FLORISTS & STATIONARY",The Gallery at Westbury Plaza,"Garden City, NY 11530 Tel: 636.776.7164",,https://www.papersource.com/locations/store/ny-garden-city/
"GIFT SHOPS, FLORISTS & STATIONARY",440 Wheatley Plaza,"440 Wheatley Plaza Greenvale, NY 11548 Tel: 516.629.0231",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",C&R Stationery,"C&R Stationery 148 Union Ave Lynbrook, NY 11563 Tel: 914.941.1185",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",Charlene’s Stationery,"Charlene’s Stationery 343 N Central Ave Valley Stream, NY 11580 Tel: 516.872.8452",,
"GIFT SHOPS, FLORISTS & STATIONARY",Papyrus,"Papyrus 630 Old Country Rd Garden City, NY 11530 Tel: 516.739.2254",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",Jack & Jill Stationery,"Jack & Jill Stationery 364 Hempstead Tpke West Hempstead, NY 11552 Tel: 516.483.6489",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",Paper Treasures,"59 Pickwick Rd Manhasset, NY 11030 Tel: 516.627.1929",,https://papertreasures.vpweb.com/
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",Manhasset Stationery Inc.,"Manhasset Stationery Inc. Manhasset, NY 11030 Tel: 516.627.2815",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",Fat Cat Paperie,"Fat Cat Paperie 150 Herricks Rd Mineola, NY 11501 Tel: 516.515.9808",,
"GIFT SHOPS, FLORISTS & STATIONARY",,,,
"GIFT SHOPS, FLORISTS & STATIONARY",Designing Moments,"Designing Moments Bellmore, NY Tel: 516.221.4504",,
