title,name,address,contact,url
Personal Care,Dry Bar Rosyln,,,https://www.thedrybar.com/locations/roslyn-heights
Personal Care,250 S Service Rd,250 S Service Rd,,
Personal Care,"Roslyn Heights, NY","Roslyn Heights, NY",,
Personal Care,Tel: 917.522.9772,Tel: 917.522.9772,,
Personal Care,,,,
Personal Care,Blo Blow Dry Bar,,,http://blomedry.com/locations/blo-glen-cove-road/
Personal Care,50 Glen Cove Rd,50 Glen Cove Rd,,
Personal Care,"Greenvale, NY 11548","Greenvale, NY 11548",,
Personal Care,Tel: 516.621.7750,Tel: 516.621.7750,,
Personal Care,The Spa at Red Hots,,,http://www.redhotsspa.com/
Personal Care,1500 Old Northern Blvd,1500 Old Northern Blvd,,
Personal Care,"Roslyn, NY","Roslyn, NY",,
Personal Care,Tel: 516.484.8267,Tel: 516.484.8267,,
Personal Care,,,,
Personal Care,The Red Door Salon & Spa Garden City Hotel,,,https://www.gardencityhotel.com/red-door-spa
Personal Care,45 Seventh St,45 Seventh St,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,516.663.7600,516.663.7600,,
Personal Care,,,,
Personal Care,Red Door Salon & Spa Franklin Avenue,,,https://www.thereddoor.com/location-detail/garden-city-franklin-avenu
Personal Care,1399 Franklin Ave #100,1399 Franklin Ave #100,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.747.7474,Tel: 516.747.7474,,
Personal Care,,,,
Personal Care,Julia Day Spa of Manhasset,,,http://www.juliadayspa.com/
Personal Care,1532 Northern Blvd,1532 Northern Blvd,,
Personal Care,"Manhasset, NY","Manhasset, NY",,
Personal Care,Tel: 516.869.5900,Tel: 516.869.5900,,
Personal Care,,,,
Personal Care,,,,
Personal Care,The Village Spa,,,http://www.the-village-spa.com/
Personal Care,14 Tower Pl,14 Tower Pl,,
Personal Care,"Roslyn, NY","Roslyn, NY",,
Personal Care,Tel: 516.625.0019,Tel: 516.625.0019,,
Personal Care,,,,
Personal Care,Oasis Organic Beauty Spa,,,http://oasisorganicbeautyspa.com/
Personal Care,138 Plandome Rd,138 Plandome Rd,,
Personal Care,"Manhasset, NY","Manhasset, NY",,
Personal Care,Tel: 516.627.4454,Tel: 516.627.4454,,
Personal Care,,,,
Personal Care,Luxury Health Day Spa,,,http://luxuryhdspa.com/
Personal Care,346 Great Neck Rd,346 Great Neck Rd,,
Personal Care,"Great Neck, NY","Great Neck, NY",,
Personal Care,Tel: 516.708.1900,Tel: 516.708.1900,,
Personal Care,,,,
Personal Care,Beautiology Salon & Spa,,,http://beautiologystudioandspa.com/
Personal Care,72 E Old Country Rd,72 E Old Country Rd,,
Personal Care,"Mineola, NY","Mineola, NY",,
Personal Care,Tel: 516.714.4949,Tel: 516.714.4949,,
Personal Care,,,,
Personal Care,Hand & Stone Massage & Facial Spa,,,https://handandstonespas.com/locations/rockville-centre
Personal Care,302 Merrick Rd,302 Merrick Rd,,
Personal Care,"Rockville Centre, NY","Rockville Centre, NY",,
Personal Care,Tel: 516.415.0367,Tel: 516.415.0367,,
Personal Care,,,,
Personal Care,Massage Myology,Massage Myology,,
Personal Care,313 Nassau Blvd,313 Nassau Blvd,,
Personal Care,"Garden City South, NY 11530","Garden City South, NY 11530",,
Personal Care,Tel: 516.640.5196,Tel: 516.640.5196,,
Personal Care,,,,
Personal Care,Massage Envy Garden City,,,https://locations.massageenvy.com/new-york/garden-city/680-stewart-avenue.html
Personal Care,680 Stewart Ave,680 Stewart Ave,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.227.3689,Tel: 516.227.3689,,
Personal Care,,,,
