name,url,address
www.lesters.com,http://www.lesters.com,"18 Rye Ridge Plaza, Rye Brook, NY 10573, 914-908-5688, www.lesters.com"
stores.buybuybaby.com,https://stores.buybuybaby.com/Port%20Chester-NY-10573-3059?MCID=YT_YEXT,"Buy Buy Baby, 441 Boston Post Rd, Port Chester, NY 10573, 914-937-3471, stores.buybuybaby.com"
www.facebook.com/Twinkle-ToesTWISH,https://www.facebook.com/Twinkle-ToesTWISH-166028426776445/,"Twinkle Toes Baby, 88 Purchase Street, Rye, NY 10580, 914-921-4860, www.facebook.com/Twinkle-ToesTWISH"
All Dressed Up,http://shopalldressedup.com/,"All Dressed Up, 17 Rye Ridge Plaza, Rye Brook, NY, 914-690-1593"
Jacadi,http://www.jacadi.us/,"Jacadi, 22 Greenwich Ave, Greenwich, CT, 203-422-2202"
Roberta Roller Rabbit,http://robertarollerrabbit.com/,"Roberta Roller Rabbit, 103 Greenwich Ave, Greenwich, CT, 203-869-1969"
Janie and Jack,http://www.janieandjack.com/index.jsp,"Janie and Jack, 107 Greenwich Ave, Greenwich, CT, 203-422-5080"
sportechryebrook.com/kids,http://sportechryebrook.com/kids/,"124 S Ridge Street, Rye Brook, NY 10573, 914-934-0001, sportechryebrook.com/kids"
Restoration Hardware Baby & Child,https://www.rhbabyandchild.com/store-locations/store.jsp?storeId=304,"Restoration Hardware Baby & Child, 264 Greenwich Ave, Greenwich, CT"
Lesters of Rye Brook,http://www.lesters.com,"Lesters of Rye Brook, 18 Rye Ridge Plaza, Rye Brook, NY 10573, 914-908-5688"
Rye Ridge Pharmacy,http://ryeridgepharmacy.com/,"146 South Ridge Street, Rye Brook, NY 10573, 914-481-4584, ryeridgepharmacy.com"
CVS,https://www.cvs.com/,"182 South Ridge Street / 253 South Ridge Street, Rye Brook, NY 10573, 914-934-9619, www.cvs.com"
CVS,https://www.cvs.com/,"1121 Boston Post Road, Rye NY 10580, 914-921-4192, www.cvs.com"
Rye Beach Pharmacy,http://www.ryerx.com,"464 Forest Avenue, Rye, NY 10580, 914-967-0856, www.ryerx.com"
Benefit Cosmetics Boutique & Brow Bar,http://rye.benefitboutiques.com,"44 Purchase St, Rye, NY 10580, 914-925-0470, rye.benefitboutiques.com"
Bluemercury,https://bluemercury.com/,"61 Purchase St, Rye, NY 10580, 914-921-1600, bluemercury.com"
Pink on the Plaza,http://www.pinkonpalmer.com/,"120 South Ridge St, Rye Brook, NY 10573, 914-305-5775, www.pinkonpalmer.com"
Ulta Beauty,http://www.ulta.com/ulta/home/,"445 Boston Post Rd, Port Chester, NY 10573, 914-937-1430, www.ulta.com"
Scissors on the Sound,,"617 Milton Rd, Rye, NY 10580, 914-921-2885"
VG Hair Design Studio,https://www.vghairdesignstudio.com/,"20 Purdy Ave, Rye, NY 10580, 914-481-8844"
Children’s Classy Cuts,,"251 Mill St, Greenwich, CT 06830, 203-532-9288"
