Title,name,url,address,Email
Aquatics,Adirondack Bluefins Swim Club,https://www.teamunify.com/TabGeneric.jsp?_tabid_=78082&team=adabsc,none,bluefinswim@verizon.net
Aquatics,Albany Country Club (Outdoor Pool),https://www.albanycc.cc/,"300 Wormer Road, Voorheesville, NY 12186",sbsmith@albanycc.cc
Aquatics,Ballston Area Recreation Commission (BARC) – Swim and Dive Team,https://ballstonarearec.org/swim-dive-team/,none,ballstonarearec@gmail.com
Aquatics,Ballston Spa Village Pool (Outdoor Pool),https://www.facebook.com/BallstonSpaVillagePool/,none,
Aquatics,Burnt Hills-Ballston Lake Central Schools (Community Swim Program),https://www.bhbl.org/,none,Public Information Specialist Tara Boscherini-Mitchell
Aquatics,Delmar Dolfins,https://www.delmardolfins.com/,none,NYadregistrar12@gmail.comSend
Aquatics,Glen Hills Club,https://www.glenhills.org/,"Bruce Drive, Burnt Hills, NY 12008","






"
Aquatics,Kingsbury Town Recreation Department,http://www.kingsburyny.gov/rec.html,"Hudson Falls Central School District Community Pool, Franklin Street, Hudson Falls",adudley@hfcsd.org
Aquatics,Little Troy Park (Outside),https://www.littletroypark.org/,"Charlton, NY",littletroypark@gmail.comsummertime
Aquatics,Mohonasen Central School District,https://www.mohonasen.org/athletics/swimming-pool/,none,Shannon Shine
Aquatics,Normanside Country Club (Outdoor Pool),https://www.normanside.com/,"150 Salisbury Road, Delmar, NY 12054",chef@normanside.com
Aquatics,Pinehaven Country Club (Outdoor Pool),https://www.pinehavencc.com/,"1151 Siver Road, Guilderland, NY 12084",gm@pinehavencc.com
Aquatics,Queensbury Parks and Recreation,https://recreation.queensbury.net/aquatics/swim-lessons/,Location: Queensbury Elementary School Pool,recreation@queensbury.net
Aquatics,Saratoga Golf & Polo Club (Outdoor Pool),https://www.saratogagolfpoloclub.org/,"301 Church Street, Saratoga Springs, NY 12866",info@saratogagolfpoloclub.org
Aquatics,Saratoga Regional YMCA,https://srymca.org/,"Saratoga Regional YMCASaratoga Springs Branch, 290 West Avenue, Saratoga Springs, NY 12866",Book Private Tennis Lessons
Aquatics,Schenectady JCC,http://schenectadyjcc.org/,"2565 Balltown Road, Schenectady, NY 12309",info@schenectadyjcc.org
Aquatics,Schenectady-Saratoga Swim Club,https://www.teamunify.com/team/adsssc/page/home,none,Sara Gregory
Aquatics,Shenendehowa Aquatics Center,https://www.shenet.org/about-us/shen-aquatics-center/,"Shen’s main campus at 970 Rte 146, Clifton Park, NY 12065",Chris Culnan
Aquatics,Sidney Albert Albany JCC (Indoor Pool and Two Outdoor Pools),http://albanyjcc.org,"340 Whitehall Road, Albany, NY 12208",info@albanyjcc.org
Aquatics,Siena College (Summer Swim Camp),https://sienacamps.com/,"515 Loudon Road, Loudonville, NY 12211",sportcamps@siena.edu
Aquatics,Skidmore College (Summer Swim Lessons),https://www.skidmore.edu/summer_sports/swimming/,"815 North Broadway, Saratoga Springs, NY 12866",sportsprograms@skidmore.edu
Aquatics,SPORTIME Schenectady (Outdoor Pool),https://www.sportimeny.com/schenectady,"2699 Curry Road, Schenectady, NY 12303",schenectady@sportimeny.com
Aquatics,STRIDE Adaptive Sports,https://www.stride.org/,none,info@stride.org
Aquatics,The Country Club of Troy (Outdoor Pool),https://www.countrycluboftroy.com/,"100 Troy Country Club Road, Troy, NY 12180",charkin@countrycluboftroy.com
Aquatics,Town of Greenwich,https://www.greenwichny.org/departments/youth-program/,"Swim program is held at Lake Lauderdale in Jackson, NY",town.clerk@greenwichny.org
Aquatics,Uncle Sam Swim Team,http://www.unclesamswimteam.com/,"Location: Troy Boys and Girls Club, 7th Ave, Troy, NY 12180",headcoach@unclesamswimteam.com
Aquatics,"Crandall Park Splash Park– Glens Falls, NY **OPENED IN 2021",https://www.crandallpark.com/splash-pad/,Free and open to the public,crandallparkgf@gmail.com
Aquatics,Elm Avenue Park Pool Complex,https://www.townofbethlehem.org/248/Pool-Complex,“Open to Town of Bethlehem residents and their guests. Non-residents must be accompanied by a resident with a valid pool pass.”,Email
Aquatics,"Gannon Park Splash Pad – Greenwich, NY",https://villageofgreenwich.org/location/gannon-park/,,clerk@villageofgreenwich.org
Aquatics,"Gavin Splash Park – Wilton, NY",https://townofwilton.com/departments/gavin-park/gavin-splash-park/,Wilton Residents and Non-Residents can use the splash park (there is a fee to use the splash park).,info@townofwilton.com
Aquatics,Paine Street Park Sprinkler – Village of Green Island,https://villageofgreenisland.com/village/parks-recreation/,,maggiea@villageofgreenisland.com
Aquatics,City of Rensselaer,https://rensselaerny.gov/City-Departments/youth-recreation,“Use of The East Street Spray Park will be limited to City of Rensselaer residents who obtain passes from the City Hall upon providing proof of residency in the City of Rensselaer.”,youth@rensselaerny.gov
Aquatics,Saratoga Spa State Park,https://parks.ny.gov/parks/saratogaspa/details.aspx,Open to the public. See website for pricing.,allison.schweizer@parks.ny.gov
Aquatics,Saratoga Springs Splash Pads,https://www.saratoga-springs.org/183/FacilitiesCalendars,Free and open to the public,recreservations@saratoga-springs.org
Aquatics,"Veterans Memorial Swimming Pool – Watervliet, NY",https://watervliet.com/,"“The City of Watervliet operates and maintains a municipal swimming pool that is open to residents of the City six days a week (weather permitting) during the summer months.” Seventh Street Park, Clinton Park and Brotherhood Park also have spray/wading pool for younger children.",info@watervliet.com
Aquatics,"Woodlawn Park Splash Pad – Schenectady, NY **OPENED IN 2019",https://www.facebook.com/WoodlawnParkSNY,Free and open to the public,382-5151WoodlawnPark411@gmail.comPhotos
Aquatics,Brown’s Beach and Marina,https://www.stillwaterny.org/departments/parks-recreational/browns-beach-2/,Town of Stillwater (Saratoga Lake),suecunningham@stillwaterny.org
Aquatics,Grafton Lakes State Park,https://parks.ny.gov/parks/53/details.aspx,"Grafton, NY",graftonlakesadmin@parks.ny.gov
Aquatics,Lake Taghkanic State Park,https://parks.ny.gov/parks/38/details.aspx,"Ancram, NY",Lake.Taghkanic@parks.ny.gov
Aquatics,Rogers Memorial Park Beach,https://www.boltonchamber.com/beaches-and-parks/,"Bolton Landing, NY",mail@boltonchamber.com
