Title,Name,Address,Contact,Url,Email,Phone Number
Attractions,Armonk Library/North Castle Library,Location: 19 Whippoorwill Rd EastContact:,,http://www.northcastlelibrary.org/,sgrieco@northcastlelibrary.org,(914) 273-3887
Attractions,Bedford Village Library,Location: 32 Village GreenContact:,,http://www.bedfordfreelibrary.org/,kcrummy@bedfordfreelibrary.org,(914) 234-3570
Attractions,Bedford Hills Library,Location: 26 Main StContact:,,http://www.bedfordhillsfreelibrary.org/,,(914) 666-6472
Attractions,Briarcliff Library,Location: 1 Library RdContact:,,http://www.briarcliffmanorlibrary.org/,,(914) 941-7072
Attractions,Chappaqua Library,Location: 195 S. Greeley AveContact:,,http://www.chappaqualibrary.org/,,(914) 238-4779
Attractions,Katonah Library,Location: 26 Bedford RdContact:,,http://www.katonahlibrary.org/,info@katonahlibrary.org,(914) 232-3508
Attractions,Mt. Kisco Library,Location: 100 East Main StreetContact:,,http://www.mountkiscolibrary.org/,2025bsteckel@mountkiscolibrary.org,(914) 666-8041
Attractions,Pleasantville Library (Mt Pleasant Library),Location: 350 Bedford Road PleasantvilleContact:,,http://www.mountpleasantlibrary.org/,,(914) 769-0548
Attractions,Ossining Library,Location: 53 Croton AvenueContact:,,http://www.ossininglibrary.com/,,(914) 941-2416
Attractions,Neuberger Museum of Art,"Location: Purchase College, Suny 735 Anderson Hill Rd, PurchaseContact:",,https://www.neuberger.org/,nma.development@purchase.edu,(914) 251-6115
Attractions,The Stamford Museum and Nature Center,Location: 39 Scofieldtown Road StamfordContact:,,https://stamfordmuseum.org,info@stamfordmuseum.org,(203) 322-1646
Attractions,Coman Hill Elementary School,Location: 558 Bedford Rd ArmonkContact:,,https://www.byramhills.org/coman-hill-home,,(914) 273-4183
Attractions,Lombardi Park,"Location: 85 Cox Ave ArmonkNotes: Soccer fields on side of tennis courts; no sand or water; bathrooms, toddler swings",,,,
Attractions,North Castle Community Park,Location: 229-289 Business Park Dr ArmonkNotes: Port-0- potties available; Next to sports fields; No swings,,http://www.northcastleny.com/recreation-department,,
Attractions,Bedford Hills Memorial Park,Location: 86-89 Lake Marie Lane Bedford HillsNotes: Totally fenced in; No bathrooms,,https://www.bedfordny.gov/departments/recreation-parks/,,
Attractions,Buck Johnson Park,Location: 510 N State Rd BriarcliffNotes: Poison ivy in wooded area; No bathrooms or sand; Have toddler and regular swings.,,http://ossining.com/buck-johnson-park/,info@ossining.com,
Attractions,Law Memorial Park,"Location: 957-999 Pleasantville Road BriarcliffNotes: Fenced in/gated; No shade, Bathrooms or sand",,http://www.briarcliffmanor.org/pages/BriarcliffManorNY_Recreation/GenInfo/RecreationFacilities&Parks,,
Attractions,Douglas Grafflin School Park,"Location: 650 King St ChappaquaNotes: Weekends only; No toddler swings, Bathrroms, or sandbox",,,,
Attractions,Gedney Park,"Location: 155 Millwood Road ChappaquaNotes: Sledding in winter, Smaller playground in back of park; Tennis courts and trails; Path for biking; Toddler swings; Bathrooms",,https://www.nynjtc.org/park/gedney-park,,
Attractions,Robert E Bell Middle School Playground,"Location: Robert E. Bell Middle School 185 S Greeley Ave ChappaquaNotes: Afterschool hrs; no sand, swings or bathrooms",,,,
Attractions,Town Hall Playground,Location: Old Pine Bridge Rd ChappaquaNotes: Bathrooms inside town hall during bus hrs; near train station; no sand box or swings,,,,
Attractions,Katonah Memorial Park,Location: 70-98 North St Katonah,,https://www.facebook.com/pages/Katonah-Memorial-Park/134080843301613,,
Attractions,Reis Park,Location: 80 Primrose St Katonah,,http://www.somersny.com/Pages/SomersNY_Parks/index,,
Attractions,Millwood Park,Location: 235 Saw Mill River Road MillwoodNotes: small play area near baseball fields; no bathrooms or any swings,,,,
Attractions,Fox Memorial Park,"Location: 198 Carpenter Ave Mt KiscoNotes: no sand, swings or bathrooms",,,,
Attractions,Leonard Park,"Location: 104 E Main St, Mount KiscoNotes: Must be resident-will check ids; no water park; toddler swings",,,,
Attractions,West Patent Park,Location: Location: 80 W. Patent Rd Mt Kisco,,,,
Attractions,Nannahagan Park,Location: Pleasantville Cottage School 1075 Broadway PleasantvilleNotes: co-located with Pleasantville community pool; shady playground; pond with walking path; port a potties,,,,
Attractions,Rockerfeller Park Preserve,Location: 125 Phelps Way PleasantvilleContact:,,www.parks.ny.gov/parks/59,,(914) 631-1470
Attractions,Roselle Park,Location: 1-47 Spring St PleasantvilleNotes: Sandbox w toys for kids; port o potties; toddler swings,,,,
Attractions,Soldiers and Sailors Park,Location: 31 Clark Street PleasantvilleNotes: morning shade/afternoon sun; bathrooms open during summer; toys in sandbox; baseball/soccer fields,,,,
Attractions,Henry Gourdine Park,Location: Location: Ferry Terminal OssiningContact: Notes: next to waterfront/3 westerly; walk to Louis Engel playground/splashpads (for older kids),,https://www.inossining.com/parks/henry-gourdine-park/,eric@schatzrealtors.com,
Attractions,Louis Engel Waterfront Park,Location: 51-151 Westerly Rd OssiningNotes: waterpark next to Henry Gourdine Park,,https://www.inossining.com/parks/louis-engel-waterfront-park/,eric@schatzrealtors.com,
Attractions,Ryder Park,"Location: Charles K. Ryder Memoral Park, 43B Morningside Dr OssiningNotes: needs maintenance; no bathrooms or sand; has toddler swings",,https://www.inossining.com/parks/ryder-park/,eric@schatzrealtors.com,
