name,url,address
Adirondack Bluefins Swim Club,https://www.teamunify.com/TabGeneric.jsp?_tabid_=78082&team=adabsc,none
Albany Country Club (Outdoor Pool),https://www.albanycc.cc/,"300 Wormer Road, Voorheesville, NY 12186"
Ballston Area Recreation Commission (BARC) – Swim and Dive Team,https://ballstonarearec.org/swim-dive-team/,none
Ballston Spa Village Pool (Outdoor Pool),https://www.facebook.com/BallstonSpaVillagePool/,none
Boys and Girls Club of Southern Rensselaer County,https://www.bgcsorensco.org/,none
Burnt Hills-Ballston Lake Central Schools (Community Swim Program),https://www.bhbl.org/,none
Capital District YMCA,http://cdymca.org,"Bethlehem Area YMCA, 900 Delaware Avenue, Delmar, NY 12054Duanesburg YMCA, 221 Victoria Drive Delanson, NY 12053Glenville YMCA, 127 Droms Road, Glenville, NY 12302Greenbush YMCA, 20 Community Way, East Greenbush, NY 12061Guilderland YMCA, 250 Winding Brook Drive, Guilderland, NY 12084Southern Saratoga YMCA, 1 Wall Street, Clifton Park, NY 12065Troy YMCA, 2500 21st Street, Troy, NY 12180"
"City of Troy, NY (Outdoor Pool)",https://www.troyny.gov/departments/parks-recreation/parks-facilities/pools/,Swim lessons are held at the South Troy Pool
Colonie Golf & Country Club (Outdoor Pool),https://www.coloniegcc.com/,"13 Country Club Lane, Voorheesville, NY 12186"
Delmar Dolfins,https://www.delmardolfins.com/,none
Excel Aquatics,https://www.goswimexcel.com/,none
Fitness Connect at the Ciccotti Center,http://www.ciccotticenter.org,"34 Aviation Road, Albany, NY 12205"
Fort Edward Recreation Department,http://villageoffortedward.com/departments/recreation/,"Pool at Bradley Beach, Bradley Ave, Fort Edward, NY 12828"
Glen Hills Club,https://www.glenhills.org/,"Bruce Drive, Burnt Hills, NY 12008"
Goldfish Swim School,https://www.goldfishswimschool.com/colonie/,"145 Wolf Road, Albany, NY 122051208 Route 146, Clifton Park, NY 12065"
Kenholm Pool (Outdoor Pool),http://www.kenholmpool.com/,"78 Dumbarton Drive, Delmar, NY 12054"
Kingsbury Town Recreation Department,http://www.kingsburyny.gov/rec.html,"Hudson Falls Central School District Community Pool, Franklin Street, Hudson Falls"
Little Troy Park (Outside),https://www.littletroypark.org/,"Charlton, NY"
McGregor Links Country Club (Outdoor Pool),https://www.mcgregorlinks.com/,"359 Northern Pines Road, Wilton, NY 12831"
Mohonasen Central School District,https://www.mohonasen.org/athletics/swimming-pool/,none
Normanside Country Club (Outdoor Pool),https://www.normanside.com/,"150 Salisbury Road, Delmar, NY 12054"
Pinehaven Country Club (Outdoor Pool),https://www.pinehavencc.com/,"1151 Siver Road, Guilderland, NY 12084"
