name,url,address
Bailiwick Animal Park,https://www.bailiwickranch.com/,"Come visit thein Catskill, NY and get up close and learn all about our animals from cute bunnies to majestic bengal tigers, most of which are rescues. Over 35 exhibits of exotic and domestic animals, playground, picnic area, petting & feeding areas, gift shop, pony rides and horseback riding. Open daily from 10am to 5pm. Cash only. ATM on premises."
Click here to visit Beestera Soccer Training’s website.,https://www.beesterasoccertraining.com/,Click here to visit Beestera Soccer Training’s website.
Crossgates,https://www.shopcrossgates.com/,"Featuring 180 retail shops……and tons of fun & entertainment for the kiddos…..offers something for everyone – all under one roof. Enjoy plenty of stores, restaurants and entertainment venues that you won’t find for miles in any direction like LEGO, Build a Bear Workshop, 5 Wits, Dave & Buster’s, Apex Entertainment, Get Air, Billy Beez & Urban Air and Albany Ninja Lab at  Commons, plus the nation’s top retailers, to experience all that  has to offer. Whether you’re looking to shop & dine or play & stay, our on-site Tru and Homewood Suites by Hilton dual-branded hotel allows for the best Staycation. Planning your next visit couldn’t be any easier."
"One Crossgates Mall Road, Albany NY 12203",https://www.facebook.com/CrossgatesMall,"One Crossgates Mall Road, Albany NY 12203"
https://www.girlscoutsneny.org/,https://www.girlscoutsneny.org/,"This year is a new opportunity to forge your own path and discover amazing things about yourself. Don’t miss your chance to grow, learn, and laugh with new friends by your side! It’s your year of discovery with Girl Scouts! Learn more today at"
"Service Center Locations in Albany, Queensbury, and Plattsburgh.Follow Girl Scouts of Northeastern New York on Facebook and Instagram.",https://www.facebook.com/GirlScoutsNENY,"Service Center Locations in Albany, Queensbury, and Plattsburgh.Follow Girl Scouts of Northeastern New York on Facebook and Instagram.Click here to visit their website."
Go Kids,https://www.123gokids.com/register-today,"is a sports and physical activity program for ages 18 months-9 years old.   offers children the ability to develop a love for an active lifestyle through an introduction into a variety of sports such as; soccer, football, basketball, tennis, baseball, hockey, and track and field. Additionally,  offers school break camps and additional classes for school aged children including; LEGO Club, Strong Kids, and Just for Kicks.  works to meet each child where they are at to instill a love for being active."
Locations in Saratoga and Clifton Park,https://www.facebook.com/123GoKids/,Locations in Saratoga and Clifton Park
"195 Troy-Schenectady Road, Latham, NY 12110",https://www.facebook.com/hudsonbouldersclimbing,"195 Troy-Schenectady Road, Latham, NY 12110"
Facebook,https://www.facebook.com/readysetplayberkshires,"675 Merrill Road, Pittsfield, MA 01201Follow Ready Set Play on&InstagramClickhereto visit their website.Phone #: 413-344-4228Email:info@readysetplayberkshires.com"
Sylvan Learning of Albany and Clifton Park,https://www.sylvanlearning.com/Locations/center-finder?postalCode=12205,"Whether your child needs help catching up, keeping up, or getting ahead, you’ll find the perfect program to fit your needs and budget at! A personal and adaptive learning plan is created just for your child to get the best results to grow skills and build success in all subject areas, including reading, writing, math, study skills, ACT/SAT prep, homework support, and Regents prep. Call today to learn more – 1-800-EDUCATE"
ALBANYFollow Sylvan Learning Albany on Facebook.Click here to visit their website.,https://www.facebook.com/SylvanLearningAlbany,ALBANYFollow Sylvan Learning Albany on Facebook.Click here to visit their website.
CLIFTON PARKFollow Sylvan Learning Clifton Park on Facebook.Click here to visit their website.,https://www.facebook.com/SylvanLearningCliftonPark,CLIFTON PARKFollow Sylvan Learning Clifton Park on Facebook.Click here to visit their website.
https://thelittlesplaycafe.com,https://thelittlesplaycafe.com/,"Are you looking for somewhere FUN to bring your little one? The Littles Play Cafe is a soft indoor playground and café (coffee, bubble tea, small bites etc.) for children seven years old and younger. Visit their websiteto learn more about open play passes, fun classes and birthday party packages. A second location is now open in Delmar, NY!"
Follow The Littles Play Cafe on Facebook and Instagram,https://www.facebook.com/profile.php?id=100093208813782,Follow The Littles Play Cafe on Facebook and Instagram
"93 West Campbell Road, Schenectady, NY 12306",https://www.facebook.com/ViaAquarium,"93 West Campbell Road, Schenectady, NY 12306"
Book now:,https://www.wildplay.com/thacher?utm_source=Capital+Region+Moms&utm_medium=Digital&utm_campaign=Thacher+2022,"visit wildplay.com, call us (+1-800-668-7771), or walk-in! 2024 season begins on May 11th!"
"524 Thacher Park Rd, Voorheesville, NY 12186",https://www.facebook.com/WildPlayThacher,"524 Thacher Park Rd, Voorheesville, NY 12186"
5 Wits Albany,http://5-wits.com/tickets-albany/,"1 Crossgates Mall Road, Albany, NY 12203"
Adventure Family Fun Center,http://www.adventurefamilyfun.com/,"1079 State Route 9, Queensbury, NY 12804"
A.I.R. Albany’s Indoor Rock Gym,https://airrockgym.com/,"4C Vatrano Road, Albany, NY 12205"
Albany Ninja Lab,https://www.albanyninjalab.com/,"161 Washington Avenue Ext, Albany, NY 12205"
All 4 Fun,http://www.all4funlatham.com/mini-golf,"1050 Troy Schenectady Road, Latham, NY 12110"
